id	name
0	u,Выберите расу и класс.\0
1	u,Воины обладают превосходством в силе и ловкости. Они гордятся своим мастерством в ближнем бою, где используют главным образом мечи и другое холодное оружие. Также они могут специализироваться на дистанционных атаках и развивать навыки лучника. Если вы жаждете жестокой резни, хотите нести разрушения, любите мечи или луки, то выбирайте путь Воина.\0
2	u,Маги совершенствуются в колдовстве и могут призывать волшебных созданий, лечить тяжелые раны, использовать мощные атакующие заклинания и создавать множество других чудес с помощью своих магических знаний. Выбирайте путь Мага, если хотите подчинить себе силы природы мощью своего разума, а не размахивать грубыми железками.\0
3	u,Изысканные и изящные Эльфийские Воины практикуют безупречное и смертоносное искусство фехтования. То, как они обращаются со своими динными, тонкими, как кнут, мечами, новички часто принимают за "прекрасный танец."\0
4	u,Магия у Эльфов в крови, и Эльфийские Маги, возможно, самые могущественные в мире. Они сосредоточены на усилении своего духа в ущерб физическому развитию и потому очень слабы в ближнем бою. Однако власть над силами природы делает их грозными противниками.\0
5	u,Воины Темных Эльфов опасны в ближнем бою, где скорость и стремительность дает им преимущество. Встреча с ними лицом к лицу может привести к быстрой и болезненной смерти от сверкающих холодных клинков.\0
6	u,Мистики Темных Эльфов известны способностью подчинять себе силы тьмы. Они владеют мощными атакующими заклинаниями и способны уничтожить врага одним словом. Поговаривают, что их врожденные магические способности даже лучше, чем у Светлых Эльфов.\0
7	u,Никто не может превзойти Орка Бойца, когда дело касается грубой физической силы. Сверхвыносливые и невероятно упорные, они внушают ужас на поле боя.\0
8	u,Вдали от передовой, Орки Адепты всегда плетут свои заклининия из тени. Зловещее магическое искусство дает им сильное политическое влияние в обществе Орков. Физически они крепче магов других рас, но их магическая сила меньше.\0
9	u,Гномы Подмастерья - хорошие крепкие бойцы, но они более известны своим превосходным ремеслом, мастерством добычи и навыками торговли. Гномы работают без устали, создавая удивительные вещи, и соревнуются друг с другом за звание величайшего торговца на земле.\0
10	u,Камаэли Грешники одинаково хорошо владеют как мечом, так и магией. Если вы хотите играть персонажем мужского пола, то у вас есть выбор между Берсерком или Солдатом. Взрывной характер Берсерка отлично сочетается с грубой силой, а если вы предпочитаете бесшумное передвижение и мощные удары, выбирайте Солдата!\0
11	u,Камаэли Грешники одинаково хорошо владеют как мечом, так и магией. Женский персонаж может стать Арбалетчиком, использующим хитрость и ловушки. А если вы хотите стать грациозным и полезным командным игроком, выбирайте Надзирателя!\0
