id	name	add_name	description	popup
17	Wooden Arrow		u,Деревянная стрела. Может быть использована для стрельбы из лука класса None Grade.\0	-1
57	Adena		a,	-1
65	Red Potion		a,	-1
686	Chair		u,Cтул\0	-1
687	Darin's Letter		u,Письмо любви, которое Darin написал для Roxxy. Darin попросил вас доставить это письмо Gatekeeper Roxxy.\0	-1
688	Roxxy's Kerchief		u,Платок Roxxy. Это ответ который Roxxy дала на письмо Darin'а, и поручила доставить Darin'у.\0	-1
689	Poetry Book		u,Книга поэзии, которую хранил Arujien. Книга содержит стихотворения, которые он написал. Передайте это Greenis.\0	-1
690	Lyrics Book		u,Книга лирики Herbien\0	-1
691	Romance Novel		u,Любовный роман\0	-1
692	Arujien's Letter		u,Письмо Arujien'а\0	-1
693	Greenis's Letter		u,Письмо Greenis'а, отклоняющее любовь Arujien. Передайте это Arujien.\0	-1
694	Ingredient List		u,Список компонентов: Три Omen Beast Bloods, два Mana Seeker Husks, два Gargoyle Horns\0	-1
695	Omen Beast's Blood		a,Omen Beast's Blood\0	-1
696	Mana Seeker's Husk		a,Mana Seeker's Husk\0	-1
697	Gargoyle's Horn		a,Gargoyle's Horn\0	-1
698	Gilbert's List		u,Список вещей, чтобы устранить: орков, хобгоблинов, ходящих грибов\0	-1
699	Orc's Nose		a,Orc's Nose\0	-1
700	Hobgoblin Amulet		u,Hobgoblin's Амулет\0	-1
701	Fungus Juice		a,Fungus Juice\0	-1
702	Wolf Pelt		u,Соберите сорок шкур волка и отдайте их Trader Lector магазина оружия и брони.\0	-1
703	Poison Sac		u,Мешочки яда полученные из мертвого гигантского паука. Отдайте это Priest Yohanes.\0	-1
704	Fever Medicine		u,Лекарство собранное Priest Yohanes для учеников которые заразились лихорадкой. Отдайте это Elias.\0	-1
705	Orc's Amulet		u,Амулет орков\0	-1
706	Basilisk's Claw		a,Basilisk's Claw\0	-1
707	Spore Sac		u,Мешочек полученный из споры грибка. Соберите 10 и отдайте Trader Vollodos.\0	-1
708	Sylph Headband		a,Sylph Headband\0	-1
709	Leather Shirt		a,	-1
710	Hard Leather Shirt		a,	-1
711	Piece Bone Breastplate		a,	-1
712	Half Plate Armor		a,	-1
713	Leather Pants		a,	-1
714	Hard Leather Pants		a,	-1
715	Piece Bone Gaiters		a,	-1
716	Plate Gaiters		a,	-1
717	Leather Gloves		a,	-1
718	Hard Leather Gloves		a,	-1
719	Excellent Leather Gloves		a,	-1
720	Reinforced Gloves		a,	-1
721	Leather Boots		a,	-1
722	Hard Leather Boots		a,	-1
723	Excellent Leather Boots		a,	-1
724	Reinforced Boots		a,	-1
725	Healing Drug		u,Магическое зелье, которое восстанавливает HP за определенный момент времени\0	-1
726	Mana Drug		u,Магическое зелье, которое восстанавливает MP за определенный момент времени\0	-1
727	Healing Potion		u,Магическое зелье, которое восстанавливает HP за определенный момент времени\0	-1
728	Mana Potion		u,Магическое зелье, которое восстанавливает MP за определенный момент времени\0	-1
729	Scroll: Enchant Weapon (Grade A)		u,Используется для оружия класса A. P.Atk мечей, топоров и ножей будет увеличена на 4. P.Atk двуручных мечей и топоров, а также кастетов будет увеличена на 5. P.Atk луков увеличивается на 8. M.Atk всех видов оружия увеличивается на 3. После проточки на +4, P.Atk и M.Atk всех оружий удваивается. Безопасная заточка до +4\0	-1
730	Scroll: Enchant Armor (Grade A)		u,Используется для брони класса A. Увеличивает P.Def брони на 1. После проточки на +3 увеличивает P.Def на 3. Безопасная заточка до +4\0	-1
731	Crystal Scroll: Enchant Weapon (Grade A)		u,Свиток заточки, используется для оружия класса \0	-1
732	Crystal Scroll: Enchant Armor (Grade A)		u,Свиток заточки, используется для брони класса \0	-1
733	Endeavor Potion		u,Магическое зелье, которое увеличивает силу воли\0	-1
734	Haste Potion		u,Магическое зелье, увеличивающее вашу скорость перемещения.\0	-1
735	Potion of Alacrity		u,Магическое зелье, увеличивающее вашу скорость атаки.\0	-1
736	Scroll of Escape		u,Свиток перемещающий вас в ближайший город.\0	-1
737	Scroll of Resurrection		u,Свиток воскрешения мертвого персонажа.\0	-1
739	Broken Sword Handle		u,Рукоятка Sword of Solidarity. Отдайте это Blacksmith Alltran.\0	-1
740	Broken Blade Bottom		u,Отдайте это, и верхнюю часть лезвия Blacksmith Alltran.\0	-1
741	Broken Blade Top		u,Отдайте это, и нижнюю часть лезвия Blacksmith Alltran.\0	-1
742	Altran's Note		u,Письмо запроса на рукоятку меча от Roien. Отдайте это Grand Master Roien находящемуся в Cedric's Training Hall.\0	-1
745	Cobendell Medicine		a,	-1
746	Alberius's List		u,Доставить снадобье Sentinel Berros, Sentinel Veltress, Sentinel Rayen, и Sentinel Gartrandell.\0	-1
750	Kinship Crystal		a,	-1
751	Cracked Kinship Crystal		a,	-1
752	Orc Amulet		u,Амулет, который орки принесли только для магии. Отдайте это Captain Gilbert.\0	-1
753	Silverleaf Brooch		a,	-1
755	Colleen's Letter		a,	-1
756	Mandragora Root		a,	-1
757	Mandragora Essence		a,	-1
758	Colleen's Receipt		a,	-1
759	Etched Rune Sword		a,	-1
760	Macabre Sword		a,	-1
761	Thanatos Sword		a,	-1
762	Gray Bone Chip		a,	-1
763	Esther's Letter		a,	-1
764	Arbon's Letter		a,	-1
765	Conspirator List		a,	-1
766	Sabrin's Signet		a,	-1
767	Sealed Scroll		a,	-1
768	Oyen's Key		a,	-1
769	Ricardo's Skull		a,	-1
770	Shield of Honor		a,	-1
771	Saythus's Skull		a,	-1
772	Trayer's Skull		a,	-1
773	Falimar's Skull		a,	-1
774	Fallen Sword of Honor		a,	-1
775	Sword of Honor		a,	-1
776	Nameless Sword		a,	-1
777	Sword of Black Ice		a,	-1
778	Arodin's Letter		a,	-1
779	Sabrin's Ring		a,	-1
780	Arbon's Letter		a,	-1
781	Madclaw's Necklace		a,	-1
782	Alex's Letter		a,	-1
783	Alex's Receipt		a,	-1
784	Glass Dagger		a,	-1
785	Broken Glass Dagger		a,	-1
786	Shadowguard Dagger		a,	-1
787	Coroli's Key		a,	-1
788	Midnight Onyx Necklace		a,	-1
789	Song: Moonlight Whisper		a,	-1
790	Bloodsteel Kris		a,	-1
791	Karlun's Skull		a,	-1
792	Karlun's Rib Bone		a,	-1
793	Karlun's Thigh Bone		a,	-1
794	Saint's Ash Urn		a,	-1
795	Mace of Athebaldt		a,	-1
796	Roien's Letter		u,Письмо в котором Roien собрал историческую информацию связанную со Sword of Solidarity. Отдать это Blacksmith Alltran.\0	-1
797	Manuel's Letter		a,	-1
798	Varan's Letter		a,	-1
799	Groot's Letter		a,	-1
800	Tome of Nassen		a,	-1
