id	UNK_0	message	group	rgb[0]	rgb[1]	rgb[2]	UNK_1	item_sound	sys_msg_ref
0	1	u,Вы были отключены от сервера.\0	2	79	9B	B0	-1	a,	a,
1	1	u,Сервер будет выключен или перезагружен через $s1 секунд. Пожалуйста выйдите из игры в безопасном месте.\0	2	1C	1D	C0	-1	a,	a,
2	1	u,$s1 не существует.\0	0	79	9B	B0	-1	a,	a,
3	1	u,$s1 не найден в игре.\0	0	79	9B	B0	-1	a,	a,
4	1	u,Вы не можете принять в клан себя.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
5	1	u,$s1 уже существует.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
6	1	u,$s1 не существует.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
7	1	u,Вы уже принадлежите $s1.\0	0	79	9B	B0	-1	a,	a,
8	1	u,Вы состоите в другом клане.\0	0	79	9B	B0	-1	a,	a,
9	1	u,$s1 не является лидером клана.\0	0	79	9B	B0	-1	a,	a,
10	1	u,$s1 состоит в другом клане.\0	0	79	9B	B0	-1	a,	a,
11	1	u,Нет никаких претендентов на этот клан.\0	0	79	9B	B0	-1	a,	a,
12	1	u,Информация о претенденте неверна.\0	0	79	9B	B0	-1	a,	a,
13	1	u,Невозможно выполнить: ваш клан зарегистрирован на участие в осаде замка.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
14	1	u,Невозможно выполнить: ваш клан имеет более одного замка или кланового дома.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
15	1	u,Вы находитесь на осаде замка.\0	0	79	9B	B0	-1	a,	a,
16	1	u,Вы находитесь вне осады замка.\0	0	79	9B	B0	-1	a,	a,
17	1	u,Осада замка началась!.\0	0	79	9B	B0	-1	a,	a,SystemMsg_k.17\0
18	1	u,Осада замка закончена.\0	0	79	9B	B0	-1	a,	a,SystemMsg_k.18\0
19	1	u,Сменился владелец замка!\0	0	79	9B	B0	-1	a,	a,
20	1	u,Ворота открыты.\0	0	79	9B	B0	-1	a,	a,
21	1	u,Ворота были уничтожены.\0	0	1C	1D	C0	-1	a,ItemSound.quest_before_battle\0	a,
22	1	u,Цель слишком далеко.\0	0	83	83	FF	-1	a,	a,
23	1	u,Нехватает HP.\0	0	1C	1D	C0	-1	a,ItemSound3.sys_shortage\0	a,
24	1	u,Нехватает MP.\0	0	1C	1D	C0	-1	a,ItemSound3.sys_shortage\0	a,
25	1	u,Восстановление HP.\0	0	FC	BB	AC	-1	a,	a,
26	1	u,Восстановление MP.\0	0	FC	BB	AC	-1	a,	a,
27	1	u,Заклинание было сорвано.\0	0	1C	1D	C0	-1	a,	a,
28	1	u,Вы подобрали $s1 adena.\0	0	0	FF	FF	-1	a,	a,
29	1	u,Вы подобрали $s2 $s1.\0	0	0	FF	FF	-1	a,	a,
30	1	u,Вы подобрали $s1.\0	0	0	FF	FF	-1	a,	a,
31	1	u,Вы не можете двигаться сидя.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
32	1	u,Вы не способны к бою. Двигайтесь в самый ближайший город. \0	0	79	9B	B0	-1	a,	a,
33	1	u,Вы не можете двигаться, пока используете магию.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
34	1	u,Добро пожаловать в мир Lineage2 на сервере Draconic.Ru\0	2	0	FF	FF	-1	a,ItemSound.quest_jackpot\0	a,
35	1	u,Вы нанесли $s1 урона.\0	3	FC	BB	AC	-1	a,	a,
36	1	u,$s1 нанес вам $s2 урона.\0	3	83	83	FF	-1	a,	a,
37	1	u,$s1 нанес вам $s2 урона.\0	3	83	83	FF	-1	a,	a,
38	1	u,Эвент начался!\0	0	79	9B	B0	-1	a,	a,
39	1	u,Эвент закончен.\0	0	79	9B	B0	-1	a,	a,
40	1	a,This is the TGS demo: the character will immediately be restored.\0	0	79	9B	B0	-1	a,	a,
41	1	u,Лук заряжен стрелой и готов к бою.\0	1	FC	BB	AC	-1	a,	a,
42	1	u,Вы увернулись от атаки $s1.\0	1	FC	BB	AC	-1	a,	a,
43	1	u,Промах.\0	1	1C	1D	C0	-1	a,	a,
44	1	u,Критический удар!\0	1	CB	8F	16	-1	a,	a,
45	1	u,Вы получили $s1 опыта.\0	0	79	9B	B0	-1	a,	a,
46	1	u,Использовать $s1.\0	0	79	9B	B0	-1	a,	a,
47	1	u,Использование $s1.\0	0	79	9B	B0	-1	a,	a,
48	1	u,$s1 не доступно, подождите перезарядки.\0	0	79	9B	B0	-1	a,ItemSound3.sys_shortage\0	a,
49	1	u,На вас новая экипировка: $s1.\0	0	79	9B	B0	-1	a,	a,
50	1	u,Цель не найдена.\0	0	79	9B	B0	-1	a,	a,
51	1	u,Вы не можете использовать это на себе.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
52	1	u,Вы получили $s1 adena.\0	0	0	FF	FF	-1	a,	a,
53	1	u,Вы получили $s2 $s1(s).\0	0	0	FF	FF	-1	a,	a,
54	1	u,Вы получили $s1.\0	0	0	FF	FF	-1	a,	a,
55	1	u,Вы не можете поднять $s1 adena.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
56	1	u,Вы не можете поднять $s1.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
57	1	u,Вы не можете поднять $s2 $s1(s).\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
58	1	u,Вы не можете получить $s1 adena.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
59	1	u,Вы не можете получить $s1.\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
60	1	u,Вы не можете получить $s2 $s1(s).\0	0	79	9B	B0	-1	a,ItemSound3.sys_impossible\0	a,
61	1	u,Ничего не произошло.\0	0	79	9B	B0	-1	a,	a,
62	1	u,$s1 был успешно заточен!\0	0	0	FF	FF	-1	a,ItemSound3.sys_enchant_success\0	a,
63	1	u,+$s1 $s2 был успешно заточен!\0	0	0	FF	FF	-1	a,ItemSound3.sys_enchant_success\0	a,
64	1	u,Заточка не сработала. $s1 кристаллизировался.\0	0	79	9B	B0	-1	a,ItemSound3.sys_enchant_failed\0	a,
65	1	u,Заточка не сработала.+$s1 $s2 кристаллизировался.\0	0	79	9B	B0	-1	a,ItemSound3.sys_enchant_failed\0	a,
66	1	u,$s1 приглашает вас в группу. Вы принимаете приглашение?\0	4	79	9B	B0	-1	a,ItemSound3.sys_party_invite\0	a,
67	1	u,$s1 приглашает вас в $s2 Клан. Вы хотите присоединиться к клану?\0	4	79	9B	B0	-1	a,ItemSound3.sys_party_invite\0	a,
68	1	u,Выйти из клана $s1 ? Вы действительно хотите продолжить?\0	4	79	9B	B0	-1	a,	a,
69	1	u,Выгнать $s1 из Клана? Вы действительно хотите продолжить?\0	4	79	9B	B0	-1	a,	a,
70	1	u,Расформировать клан $s1 ? Вы действительно хотите продолжить?\0	4	79	9B	B0	-1	a,	a,
71	1	u,Сколько $s1(s) вы хотите выбросить?\0	4	79	9B	B0	-1	a,	a,
72	1	u,Сколько $s1(s) вы хотите переместить?\0	4	79	9B	B0	-1	a,	a,
73	1	u,Сколько $s1(s) ыы хотите удалить? \0	4	79	9B	B0	-1	a,	a,
74	1	u,Удалить $s1. Вы действительно хотите продолжить?\0	4	79	9B	B0	-1	a,	a,
75	1	u,Такого имени не существует.\0	0	79	9B	B0	-1	a,ItemSound3.sys_character_failed\0	a,
76	1	u,Неправильный пароль.\0	0	79	9B	B0	-1	a,	a,
